,V16-D4 PROP
axpy,"{'Fetch': 0.0042903528, 'Rename': 0.0006100262000000001, 'Scheduler': 0.00106217997, 'Scalar FU + RF': 0.0135999992, 'Vector FU': 0.025882958, 'Vector RF': 0.00175087128, 'L1D Cache': 0.007311811400000001, 'Scalar LSU': 0.0032756705499999996, 'Vector LSU': 0.00014236599999999794}"
blackscholes,"{'Fetch': 0.0148529528, 'Rename': 0.0077472445, 'Scheduler': 0.0098978622336, 'Scalar FU + RF': 0.0232218621482, 'Vector FU': 0.246000978, 'Vector RF': 0.055956431279999996, 'L1D Cache': 0.0087701714, 'Scalar LSU': 0.00813610705, 'Vector LSU': 0.00014237599999999961}"
canneal,"{'Fetch': 0.0405539528, 'Rename': 0.031868984499999996, 'Scheduler': 0.031584954969999995, 'Scalar FU + RF': 0.0598623708, 'Vector FU': 0.141462378, 'Vector RF': 0.03076803128, 'L1D Cache': 0.028222711400000003, 'Scalar LSU': 0.03306253705000001, 'Vector LSU': 0.00014245599999999914}"
jacobi-2d,"{'Fetch': 0.0115956628, 'Rename': 0.0029809745, 'Scheduler': 0.00797295297, 'Scalar FU + RF': 0.0172967178, 'Vector FU': 0.267032978, 'Vector RF': 0.06196653128, 'L1D Cache': 0.0152544114, 'Scalar LSU': 0.00887142405, 'Vector LSU': 0.00014234599999999806}"
particlefilter,"{'Fetch': 0.0385726528, 'Rename': 0.0294960845, 'Scheduler': 0.03798233497, 'Scalar FU + RF': 0.0653497908, 'Vector FU': 0.022827358, 'Vector RF': 0.00074502528, 'L1D Cache': 0.0192667314, 'Scalar LSU': 0.025667293950000003, 'Vector LSU': 0.00014236760000000109}"
pathfinder,"{'Fetch': 0.0246234528, 'Rename': 0.014609984500000001, 'Scheduler': 0.01722819497, 'Scalar FU + RF': 0.0326495808, 'Vector FU': 0.239694978, 'Vector RF': 0.05597003128, 'L1D Cache': 0.026556711400000002, 'Scalar LSU': 0.023228397050000002, 'Vector LSU': 0.00014239600000000643}"
streamcluster,"{'Fetch': 0.0268527528, 'Rename': 0.0162515845, 'Scheduler': 0.02023925497, 'Scalar FU + RF': 0.0373364808, 'Vector FU': 0.20101317800000001, 'Vector RF': 0.04615253128, 'L1D Cache': 0.0267603114, 'Scalar LSU': 0.02597390705, 'Vector LSU': 0.00014240600000000117}"
swaptions,"{'Fetch': 0.0191528528, 'Rename': 0.0114573845, 'Scheduler': 0.01259230977, 'Scalar FU + RF': 0.0284471668, 'Vector FU': 0.19743617800000002, 'Vector RF': 0.044439131279999995, 'L1D Cache': 0.016929691400000002, 'Scalar LSU': 0.01587133705, 'Vector LSU': 0.00014232599999999818}"
spmv,"{'Fetch': 0.0046796148, 'Rename': 0.0007007515000000001, 'Scheduler': 0.00139689097, 'Scalar FU + RF': 0.013724426, 'Vector FU': 0.036992478, 'Vector RF': 0.00474663128, 'L1D Cache': 0.0083717514, 'Scalar LSU': 0.0050641112499999995, 'Vector LSU': 0.00014234600000000326}"
fftw3,"{'Fetch': 0.0095188028, 'Rename': 0.0031842745, 'Scheduler': 0.00541876637, 'Scalar FU + RF': 0.0169321335, 'Vector FU': 0.17383357800000002, 'Vector RF': 0.03874163128, 'L1D Cache': 0.0119684514, 'Scalar LSU': 0.0063806070500000015, 'Vector LSU': 0.0001423959999999995}"
