,V4-D2 SV Fence,V4-D2 SV MEM Fence,V4-D2 Prop1,V4-D2 PROP,V4-D2 BASE
axpy,0.9768114762425041,0.9791988141190833,0.9791988141190833,0.9791988141190833,1.0
blackscholes,0.7400120603133908,0.755505559881137,0.7779700449874194,0.7779297536540675,1.0
canneal,0.7006854770150429,0.8013499199156684,0.8556761305269599,0.8556667795906324,1.0
jacobi-2d,0.7448523454750521,0.8260776012932766,0.9657033862187444,0.9657033862187444,1.0
particlefilter,0.9812984862444915,0.9842212150775723,0.9877151450055555,0.9877446346981331,1.0
pathfinder,0.6362905636888512,0.6175284212529134,0.9141112934002719,0.9141112934002719,1.0
streamcluster,0.6785344108626896,0.8450445184505382,0.8466583543412006,0.8465403510911286,1.0
swaptions,0.7124332256699385,0.7935831847406228,0.8181835941195182,0.8181835941195182,1.0
spmv,0.9860387832278857,0.9996836868263748,0.9996989083194149,0.9996989083194149,1.0
fftw3,0.6039146821456957,0.6893109677705369,0.7103186975713658,0.710317886331139,1.0
GeoMean,0.7760871510885543,0.8291503889327723,0.8855234368609534,0.8855095401542133,1.0
