,V8-D2 SV Fence,V8-D2 SV MEM Fence,V8-D2 Prop1,V8-D2 PROP,V8-D2 BASE
axpy,1.008871192272705,1.0090796786527654,1.0090796786527654,1.0090796786527654,1.0
blackscholes,0.9799308744837893,0.9821395883085324,0.9977280212136524,0.9965955455670132,1.0
canneal,0.7412557385286527,0.8237408245936424,0.9046573081940527,0.9046472214789048,1.0
jacobi-2d,0.8651212155452344,0.935916478036571,0.9927350616084442,0.9927350616084442,1.0
particlefilter,0.9925526933773902,0.9927516612700527,0.9953645334645667,0.9953374566906406,1.0
pathfinder,0.8067808219178083,0.7489710744757104,0.9998610971779577,0.9998610971779577,1.0
streamcluster,0.7732211950406634,0.8825834666923892,0.8841641949839384,0.8840712780460176,1.0
swaptions,0.9079532883552365,0.9481753566057902,0.978859447490539,0.9788593808984394,1.0
spmv,0.9833303699604319,0.9973855370782754,0.9979411949006802,0.9979411949006802,1.0
fftw3,0.8599334358312137,0.9700345414803584,0.9805274199990726,0.980517848267155,1.0
GeoMean,0.8918950825313127,0.9290778207194087,0.9740917957685669,0.9739645763288017,1.0
