,V4-D4 PROP,V4-D4 BASE,V8-D4 PROP,V8-D4 BASE,V16-D4 PROP,V16-D4 BASE,V32-D4 PROP,V32-D4 BASE
Fetch,0.06625488505321368,0.07594513302217983,0.05794945024149929,0.0621884824914448,0.05224267946199296,0.05371612423386729,0.04694061868028037,0.04840708382775964
Scalar Rename,0.03560618376421147,0.041265667204730815,0.03270159341180567,0.03545148057991561,0.0309566999409036,0.03206298545870515,0.028303078550491856,0.02947787448235138
Scheduler,0.10100223686946039,0.12381968170898112,0.11256410197554556,0.1270768036711597,0.12635863749002324,0.13142232076640242,0.14093930469700006,0.14743081286425622
Scalar FU + RF,0.0993128568230266,0.10724405584419554,0.09550161369275789,0.09939283574963834,0.09312045360480227,0.09475038439218714,0.08950674646165889,0.0912522793480737
Vector FU,0.21992472152163783,0.262481083703792,0.2737882428058157,0.30554935248454,0.32779793342359376,0.33885120367563937,0.38240215476475686,0.39758476564583595
Vector RF,0.03909539957077332,0.10529283646409024,0.05218166205587645,0.12641314313965163,0.06530694177444643,0.1427199628442125,0.07867642006826389,0.17242999301844708
Vector Rename,0.0,0.05000758702203636,0.0,0.03708545651725915,0.0,0.02782933105967041,0.0,0.023343847659310572
L1D Cache,0.0514472680306742,0.057212460986329594,0.04876213030480657,0.05237435916676338,0.04633629794180684,0.04756219937155792,0.04404400047658261,0.04525800187547495
Scalar LSU,0.045670071141574266,0.07986921904577386,0.042861697989347865,0.06978192860556953,0.04080176600640818,0.06242504714083835,0.037240311898327,0.05577226458527059
Vector LSU,0.0005019458359208559,0.09686227499789067,0.0005019339983421436,0.08404599611512154,0.0005019689006819592,0.07428046800610168,0.0005019610683806081,0.06924756858446382
