,V8-D2
spmv,0.9312066721018973
axpy,0.8888475548322096
jacobi-2d,0.7616150285405958
fftw3,0.6956989265871201
blackscholes,0.5026085553824537
streamcluster,0.43570259892559293
swaptions,0.32490576712512326
pathfinder,0.3117196534213746
canneal,0.14566409869662555
dhrystone,0.143457736506956
dhrystone,0.143457736506956
particlefilter,0.006581644588667054
