,V16-D4 SV Fence,V16-D4 SV MEM Fence,V16-D4 Prop1,V16-D4 PROP,V16-D4 BASE
axpy,0.9981228509520381,1.0000016193235826,1.0000016193235826,1.0000016193235826,1.0
blackscholes,0.9783567834229774,0.9815806094521451,0.995453011467337,0.9944927312860201,1.0
canneal,0.784602286548285,0.8529171374311884,0.9226858413408402,0.9226858413408402,1.0
jacobi-2d,0.8262923425509616,0.9090179792064002,0.9927999824881564,0.9927999824881564,1.0
particlefilter,0.9973678101669987,0.9978766714427372,0.999432012294303,0.9994056472258315,1.0
pathfinder,0.7476829787665538,0.6461577559086169,1.0,1.0,1.0
streamcluster,0.7200152022827433,0.8652563445053384,0.8676492293397258,0.8675107311656318,1.0
swaptions,0.8987919528206061,0.9343796624248386,0.9642362288018435,0.9642898038382904,1.0
spmv,0.9777579283757355,0.9955772189921587,0.994989016399205,0.994989016399205,1.0
fftw3,0.842283871189116,0.9130192209222026,0.9281900613320628,0.928197080843984,1.0
GeoMean,0.8771274007076016,0.9095784219609208,0.9665437002787058,0.9664372453911542,1.0
