,0,1,2
V4-D4 SV Fence,1.0,,1.0
V8-D4 SV Fence,1.3044030567654028,,1.0422466760758418
V16-D4 SV Fence,1.5807476591179799,,1.1267400282275257
V32-D4 SV Fence,1.625338952919865,,1.2957267325308934
V4-D4 SV MEM Fence,1.0939892832304243,,1.0
V8-D4 SV MEM Fence,1.4036478982184883,,1.0422466760758418
V16-D4 SV MEM Fence,1.6377148787092775,,1.1267400282275257
V32-D4 SV MEM Fence,1.6267240725205312,,1.2957267325308934
V4-D4 Prop1,1.2447699750755334,,1.1022905909053033
V8-D4 Prop1,1.5267088314115385,,1.144537266981145
V16-D4 Prop1,1.7552025713695723,,1.229030619132829
V32-D4 Prop1,1.7350295845344306,,1.3980173234361968
V4-D4 PROP,1.2447355245670795,0.7511957459098404,1.0280729712514982
V8-D4 PROP,1.5263959360681414,0.6607893461691632,1.0703196473273404
V16-D4 PROP,1.7549632567836144,0.6221509811791409,1.154812999479024
V32-D4 PROP,1.7348995286320708,0.6283018366084311,1.3237997037823919
V4-D4 BASE,1.5343966965464635,0.9999999999999999,1.2282888895525166
V8-D4 BASE,1.7212615141745815,0.8817518929364214,1.3438662357898616
V16-D4 BASE,1.8183470519810434,0.8247987913744804,1.5750209282645513
V32-D4 BASE,1.7960708419759612,0.8394740652946016,2.0373303132139307
