,V4-D4 SV Fence,V4-D4 SV MEM Fence,V4-D4 Prop1,V4-D4 PROP,V4-D4 BASE
axpy,0.9690349519867412,0.9711343057386614,0.9711343057386614,0.9711343057386614,1.0
blackscholes,0.6011166148560669,0.6223821898177013,0.6438814031093296,0.6438426632877395,1.0
canneal,0.6941447837018099,0.8011563462941388,0.8602310192438095,0.8602159337351158,1.0
jacobi-2d,0.5644716850916023,0.6194657121237447,0.9203414893014101,0.9203414893014101,1.0
particlefilter,0.9813280314092716,0.98414639509961,0.987507086974572,0.9875366147342175,1.0
pathfinder,0.4818925271466404,0.4917570255251386,0.8625453449694609,0.8625453449694609,1.0
streamcluster,0.5863587320033132,0.755350731424969,0.7574867925484254,0.7573195494848676,1.0
swaptions,0.6851595169185891,0.7909067567271031,0.816710601968918,0.816710601968918,1.0
spmv,0.9847266868241313,0.9977917152247535,0.9966299043918655,0.9966299043918655,1.0
fftw3,0.46261105265044034,0.5419464165196753,0.5608785641306523,0.5608770871899662,1.0
GeoMean,0.7010844582588607,0.7576037594495495,0.8377346512377105,0.8377153494802222,1.0
