,V2-D2 PROP,V2-D2 BASE,V4-D2 PROP,V4-D2 BASE,V8-D2 PROP,V8-D2 BASE,V16-D2 PROP,V16-D2 BASE
Fetch,0.10447337647545085,0.10110702798213962,0.07228433567039634,0.07087870712173532,0.056395924335490774,0.05615712330643159,0.049678061384547396,0.04954264035561641
Scalar Rename,0.05212859244085494,0.05167468722174308,0.03847500215445242,0.038285478964516895,0.03169208454138726,0.03165989063566361,0.02903704272921665,0.029018824255938068
Scheduler,0.13404368028463406,0.13336505292915146,0.11152789329491826,0.1112446377037007,0.10341950732918737,0.1033713563270255,0.10398223653161212,0.10395493727578382
Scalar FU + RF,0.13947637038734098,0.12751491844344182,0.11002291364355207,0.1050278592010867,0.09631136959090378,0.09546285944815884,0.09302214793612171,0.09254086494916192
Vector FU,0.12969501430100738,0.12057351752469465,0.12450048661738697,0.12069136403543337,0.1270149394280109,0.12636791666428585,0.13655571262120442,0.13618880096830063
Vector RF,0.043378120539090216,0.09190756210136769,0.04382116495905231,0.09254867996026236,0.04646608132571038,0.09800159224338807,0.05076069111153331,0.10682827307790059
Vector Rename,0.0,0.07539220421481233,0.0,0.04420787660585608,0.0,0.03092705006487793,0.0,0.023184937091646762
L1D Cache,0.07331574004174232,0.06982369562082628,0.054478327444814977,0.053255147570460605,0.04721626837883895,0.04761196667540458,0.04381581332033187,0.04369672545439618
Scalar LSU,0.06439298214704496,0.10223972707611621,0.04795469926799117,0.07235949123652859,0.041181903430386683,0.06198129468165677,0.038196730637152634,0.05590032836511384
Vector LSU,0.0006957389768587504,0.12640160688570684,0.0005737788506588036,0.08710201725151066,0.0005224173914546759,0.07385602155607172,0.0005267880908924381,0.06528787599253778
