,V2-D2 SV Fence,V2-D2 SV MEM Fence,V2-D2 Prop1,V2-D2 PROP,V2-D2 BASE
axpy,0.9585227712117923,0.9548231186089812,0.9548231186089812,0.9548231186089812,1.0
blackscholes,0.5773923027854562,0.5991164195753836,0.6226198614013698,0.6189867750766133,1.0
canneal,0.6148951737399972,0.7306879944647263,0.7779080868633904,0.7778967773200872,1.0
jacobi-2d,0.5720229649332612,0.6235790404847174,0.9035179047359602,0.9035179047359602,1.0
particlefilter,0.9648225941010561,0.9694946589831795,0.9751189369497457,0.9748925378357469,1.0
pathfinder,0.47099319645448084,0.49150375015369485,0.8383708248942368,0.8383708248942368,1.0
streamcluster,0.5735434385309279,0.7566482074465125,0.7581572107827403,0.7580440205733742,1.0
swaptions,0.686960179744955,0.792956098720596,0.8201340624496389,0.8201335188746784,1.0
spmv,0.9830672395407383,0.993021314679555,0.9932849302697105,0.9932849302697105,1.0
fftw3,0.42170746615623766,0.49833408624894626,0.5115364182587695,0.5115362335170868,1.0
GeoMean,0.6823927327198903,0.7410164689366293,0.8155471355214544,0.8151486641706475,1.0
