,V16-D2
spmv,0.9484808177526296
axpy,0.9194783038139493
jacobi-2d,0.7858456661411449
fftw3,0.7345832444247083
blackscholes,0.42200933992532624
swaptions,0.34538509851803434
streamcluster,0.34479291843649973
pathfinder,0.23191007873721223
canneal,0.14244568413923397
dhrystone,0.08968465083074892
particlefilter,0.004927478231166485
